Convoluting,Convoluted
Plying,Plied
Depoliticizing,Depoliticized
Outrivalling,Outrivalled
Peeping,Peeped
Possing,Possed
Chafing,Chafed
Chaffing,Chaffed
Trysting,Trysted
Visaing,Visaed
Plenishing,Plenished
Cherishing,Cherished
Croaking,Croaked
Clombing,Clombed
Mantling,Mantled
Floating,Floated
Bounding,Bounded
Clomping,Clomped
Obligating,Obligated
Wrongfooting,Wrongfooted
Stumbling,Stumbled
Wanning,Wanned
Familiarizing,Familiarized
Connoting,Connoted
Wagging,Wagged
Segmenting,Segmented
Wadding,Wadded
Frilling,Frilled
Fighting,Fought
Gybing,Gybed
Tartarizing,Tartarized
Fizzing,Fizzed
Catalyzing,Catalyzed
Pirouetting,Pirouetted
Bespattering,Bespattered
Conversing,Conversed
Imparadising,Imparadised
Truing,Trued
Mussing,Mussed
Absenting,Absented
Scrimmaging,Scrimmaged
Detribalizing,Detribalized
Variolating,Variolated
Emitting,Emitted
Corrading,Corraded
Flatting,Flatted
Abstracting,Abstracted
Molting,Molted
Evidencing,Evidenced
Manuring,Manured
Subsisting,Subsisted
Facing,Faced
Encrypting,Encrypted
Staking,Staked
Shrining,Shrined
Repaying,Repaid
Testing,Tested
Upholstering,Upholstered
Outmanoeuvring,Outmanoeuvred
Frolicking,Frolicked
Cicatrizing,Cicatrized
Orating,Orated
Heroworshipping,Heroworshipped
Truncating,Truncated
Stuttering,Stuttered
Welcoming,Welcomed
Outreaching,Outreached
Trouping,Trouped
Volcanizing,Volcanized
Ramifying,Ramified
Contangoing,Contangoed
Fazing,Fazed
Tautologizing,Tautologized
Bottoming,Bottomed
Urbanizing,Urbanized
Gyrating,Gyrated
Re-tracing,Retraced
Denunciating,Denunciated
Platemarking,Platemarked
Incarcerating,Incarcerated
Dancing,Danced
Debauching,Debauched
Supplementing,Supplemented
Battling,Battled
Bottlefeeding,Bottlefed
Suffumigating,Suffumigated
Varnishing,Varnished
Matchmarking,Matchmarked
Zoning,Zoned
Graphing,Graphed
Humping,Humped
Flashing,Flashed
Counter-attacking,Counterattacked
Compensating,Compensated
Tusking,Tusked
Overbuilding,Overbuilt
Browning,Browned
Predicating,Predicated
Congesting,Congested
Facehardening,Facehardened
Chirruping,Chirruped
Twotiming,Twotimed
Sunbathing,Sunbathed
Kittening,Kittened
Troubling,Troubled
Blasting,Blasted
Bringing,Brought
Subinfeudating,Subinfeudated
Latinizing,Latinized
Gunning,Gunned
Gumming,Gummed
Stylopizing,Stylopized
Burgeoning,Burgeoned
Guying,Guyed
Disqualifying,Disqualified
Grecizing,Grecized
Braving,Braved
Regretting,Regretted
Trilling,Trilled
Discovering,Discovered
Agitating,Agitated
Coshing,Coshed
Circumnutating,Circumnutated
Grumping,Grumped
Costing,Cost
Stupefying,Stupefied
Tempesting,Tempested
Cursing,Curst
Appearing,Appeared
Avouching,Avouched
Galumphing,Galumphed
Havocking,Havocked
Chuffing,Chuffed
Telexing,Telexed
Handpicking,Handpicked
Appealing,Appealed
Satisfying,Satisfied
Unbosoming,Unbosomed
Chicaning,Chicaned
Widowing,Widowed
Gawking,Gawked
Disclaiming,Disclaimed
Illumining,Illumined
Gawping,Gawped
Englishing,Englished
Gorging,Gorged
Reexamining,Reexamined
Tubulating,Tubulated
Changing,Changed
Bucking,Bucked
Theorizing,Theorized
Eking,Eked
Disavowing,Disavowed
Detonating,Detonated
Conciliating,Conciliated
Pillowing,Pillowed
Boulting,Boulted
Infracting,Infracted
Paragoning,Paragoned
Gesticulating,Gesticulated
Marketing,Marketed
Knurling,Knurled
Subverting,Subverted
Captivating,Captivated
Rejuvenating,Rejuvenated
Coalescing,Coalesced
Living,Lived
Sloughing,Sloughed
Meliorating,Meliorated
Stomaching,Stomached
Privateering,Privateered
Entrancing,Entranced
Clubbing,Clubbed
Clucking,Clucked
Cluing,Clued
Reunifying,Reunified
Juddering,Juddered
Pedestrianizing,Pedestrianized
Prepaying,Prepaid
Douching,Douched
Machicolating,Machicolated
Capping,Capped
Cawing,Cawed
Catting,Catted
Purging,Purged
Miauling,Miauled
,Could
Hearting,Hearted
Attributing,Attributed
Chipping,Chipped
Nocking,Nocked
Chondrifying,Chondrified
Aborting,Aborted
Chinning,Chinned
Refining,Refined
Manhandling,Manhandled
Occurring,Occurred
Bankrupting,Bankrupted
Lounging,Lounged
Despairing,Despaired
Intrenching,Intrenched
Deteriorating,Deteriorated
Escalating,Escalated
Diving,Dove
Bawling,Bawled
Countermanding,Countermanded
Producing,Produced
Bearing,
Restating,Restated
Coagulating,Coagulated
Flourishing,Flourished
Wainscoting,Wainscoted
Creping,Creped
Remembering,Remembered
Ammonifying,Ammonified
Rebutting,Rebutted
Denaturalizing,Denaturalized
Offending,Offended
Crumpling,Crumpled
Stilting,Stilted
Forfeiting,Forfeited
Utilizing,Utilized
Braining,Brained
Brailing,Brailed
Cityfying,Cityfied
Birdying,Birdied
Cachinnating,Cachinnated
Colding,Colded
Breding,Breded
Iceskating,Iceskated
Trifling,Trifled
Acknowledging,Acknowledged
Moisturizing,Moisturized
Windowing,Windowed
Suffocating,Suffocated
Waggling,Waggled
Crossindexing,Crossindexed
Interrelating,Interrelated
Halting,Halted
Flinging,Flung
Nodding,Nodded
Raking,Raked
Overcrowding,Overcrowded
Introducing,Introduced
Flinting,Flinted
Recaping,Recaped
Damnifying,Damnified
Provisioning,Provisioned
Discussing,Discussed
Expediting,Expedited
Wonting,Wonted
Daubing,Daubed
Placating,Placated
Sopping,Sopped
Dropping,Dropped
Deifying,Deified
Kerning,Kerned
Degaussing,Degaussed
Outsailing,Outsailed
Pommelling,Pommelled
Double-faulting,Double-faulted
Enisling,Enisled
Grousing,Groused
Yeaning,Yeaned
Obturating,Obturated
Wrapping,Wrapped
Replaying,Replayed
Forgating,Forgated
Counteracting,Counteracted
Accomplishing,Accomplished
Precontracting,Precontracted
Spacing,Spaced
Showding,Showded
Thirsting,Thirsted
Increasing,Increased
Hallucinating,Hallucinated
Instating,Instated
Circumscribing,Circumscribed
Tweezing,Tweezed
Scandalizing,Scandalized
Carping,Carped
Cawaying,Cawayed
Carking,Carked
Conglutinating,Conglutinated
Repurchasing,Repurchased
Carding,Carded
Caring,Cared
Moulting,Moulted
Clarioning,Clarioned
Outcrying,Outcried
Professing,Professed
Supporting,Supported
Blinding,Blinded
Incurvating,Incurvated
Troding,Troded
Anteverting,Anteverted
Blinking,Blinked
Consecrating,Consecrated
Demoting,Demoted
Zapping,Zapped
Sizing,Sized
Imprecating,Imprecated
Sheering,Sheered
Sheeting,Sheeted
Breeding,Bred
Callousing,Calloused
Browbeating,Browbeat
Purloining,Purloined
Checkering,Checkered
Trephining,Trephined
Uncurling,Uncurled
Friending,Friended
Thawing,Thawed
Fractioning,Fractioned
Delating,Delated
Sewering,Sewered
Repossessing,Repossessed
Disabusing,Disabused
Glimmering,Glimmered
Pecking,Pecked
Aromatizing,Aromatized
Hypersensitizing,Hypersensitized
Recruiting,Recruited
Massproducing,Massproduced
Double-banking,Double-banked
Impinging,Impinged
Gobbling,Gobbled
Extinguishing,Extinguished
Intercalating,Intercalated
Decomposing,Decomposed
Surnaming,Surnamed
Evanishing,Evanished
Slatting,Slatted
Premiering,Premiered
Slapping,Slapped
Undercooling,Undercooled
Slamming,Slammed
Angering,Angered
Breakfasting,Breakfasted
Recovering,Recovered
Slabbing,Slabbed
Ponging,Ponged
Wassailing,Wassailed
Gangrening,Gangrened
Beginning,Began
Mountaineering,Mountaineered
Sleding,Sledged
Pricing,Priced
Evaporating,Evaporated
Syncretizing,Syncretized
Oxidating,Oxidated
Dreaming,Dreamt
Reforming,Reformed
Steadying,Steadied
Toothing,Toothed
Slavering,Slavered
Clavering,Clavered
Syndicating,Syndicated
Overdying,Overdyed
Boggling,Boggled
Grounding,Grounded
Gnawing,Gnawn
Titling,Titled
Waddying,Waddied
Industrializing,Industrialized
Jolting,Jolted
Transuding,Transuded
Unravelling,Unravelled
Staining,Stained
Skiting,Skited
Shrilling,Shrilled
Cannoning,Cannoned
Celebrating,Celebrated
Deprecating,Deprecated
Leathering,Leathered
Bullwhipping,Bullwhipped
Entombing,Entombed
Husbanding,Husbanded
Murdabading,Murdabaded
Bursting,Burst
Allegorizing,Allegorized
Whitewashing,Whitewashed
Unfitting,Unfitted
Inseminating,Inseminated
Habilitating,Habilitated
Sporting,Sported
Re-treading,Retrod
Laicizing,Laicized
Concerning,Concerned
Canoodling,Canoodled
Pomading,Pomaded
Inciting,Incited
Glazing,Glazed
Rephrasing,Rephrased
Gazetting,Gazetted
Importing,Imported
Clenching,Clenched
Orchestrating,Orchestrated
Noticing,Noticed
Pettifogging,Pettifogged
Transposing,Transposed
Rerunning,Reran
Plucking,Plucked
Blaming,Blamed
Decoking,Decoked
Hydrating,Hydrated
Animalizing,Animalized
Syllabifying,Syllabified
Cleaving,Clove
Gliding,Glided
Guffawing,Guffawed
Pertaining,Pertained
Tempering,Tempered
Adhibiting,Adhibited
Evicting,Evicted
Disentitling,Disentitled
Desponding,Desponded
Wreathing,Wreathed
Mummifying,Mummified
Dispatching,Dispatched
Exploiting,Exploited
Forehanding,Forehanded
Labializing,Labialized
Deregistering,Deregistered
Uglifying,Uglified
Resorting,Resorted
Sketting,Sketted
Inverting,Inverted
Overjoying,Overjoyed
Tossing,Tossed
Heattreating,Heattreated
Asphyxiating,Asphyxiated
Conflating,Conflated
Agglutinating,Agglutinated
Exclaiming,Exclaimed
Encaging,Encaged
Crumbing,Crumbed
Compartmentalizing,Compartmentalized
Soft-soldering,Soft-soldered
Tricking,Tricked
Scudding,Scudded
Crumping,Crumped
Scumming,Scummed
Tricing,Triced
Forbearing,Forbore
Americanizing,Americanized
Soiling,Soiled
Sussing,Sussed
Biassing,Biassed
Embracing,Embraced
Beavering,Beavered
Henting,Hented
Worrying,Worried
Impassioning,Impassioned
Unbuttoning,Unbuttoned
Inquiring,Inquired
Pestering,Pestered
About-turning,About-turned
Documenting,Documented
Finishing,Finished
Unlacing,Unlaced
Foaling,Foaled
Foaming,Foamed
Cross-checking,Crosschecked
Fruiting,Fruited
Puffing,Puffed
Obverting,Obverted
Smelting,Smelted
Validating,Validated
Desalinizing,Desalinized
Breezing,Breezed
Demeaning,Demeaned
Hypostatizing,Hypostatized
Alleviating,Alleviated
Perpending,Perpended
Coordinating,Coordinated
Vomiting,Vomited
Taxying,Taxied
Venting,Vented
Centuplicating,Centuplicated
Armouring,Armoured
Sulphating,Sulphated
Touching,Touched
Taring,Tared
Speeding,Speeded
Domiciling,Domiciled
Refurbishing,Refurbished
Counterpunching,Counterpunched
Alluding,Alluded
Versing,Versed
Cogitating,Cogitated
Russianizing,Russianized
Disproportionating,Disproportionated
Lading,Laded
Reaming,Reamed
Breastfeeding,Breastfed
Frowning,Frowned
Stunking,Stunked
Reading,Read
Swigging,Swigged
Plodging,Plodged
Detoxifying,Detoxified
Detracting,Detracted
Chemosorbing,Chemosorbed
Stunting,Stunted
Reaping,Reaped
Hovelling,Hovelled
Rearing,Reared
Secularizing,Secularized
Commoving,Commoved
Fortuning,Fortuned
Misquoting,Misquoted
Rolling,Rolled
Engrossing,Engrossed
Interleaving,Interleaved
Benefiting,Benefited
Hoarsening,Hoarsened
Ensiling,Ensiled
Laughing,Laughed
Orientalizing,Orientalized
Doublecrossing,Doublecrossed
Uppercasing,Uppercased
Squirming,Squirmed
Hebetating,Hebetated
Puttering,Puttered
Squiring,Squired
Circumnavigating,Circumnavigated
Squirting,Squirted
Underbuying,Underbought
Unstringing,Unstrung
Hustling,Hustled
Saddening,Saddened
Revivifying,Revivified
Seining,Seined
Steam-heating,Steam-heated
Restringing,Restrung
Assembling,Assembled
Throwing,Threw
Emasculating,Emasculated
Placarding,Placarded
Cutinizing,Cutinized
Discerning,Discerned
Chopping,Chopped
Wolfing,Wolfed
Internalizing,Internalized
Unquoting,Unquoted
Intromitting,Intromitted
Lionizing,Lionized
Stoking,Stoked
Resuscitating,Resuscitated
Lobbing,Lobbed
Logging,Logged
Countermining,Countermined
Preregistering,Preregistered
Criminating,Criminated
Wigwagging,Wigwagged
Starting,Started
Lopping,Lopped
Lowing,Lowed
Lotting,Lotted
Gudgeoning,Gudgeoned
Glaciating,Glaciated
Groaning,Groaned
Dejecting,Dejected
Recoiling,Recoiled
Gatecrashing,Gatecrashed
Hiring,Hired
Expropriating,Expropriated
Skedaddling,Skedaddled
Hoidening,Hoidened
Defaulting,Defaulted
Enchasing,Enchased
Bucketing,Bucketed
Overpaying,Overpaid
Clecking,Clecked
Dandering,Dandered
Popularizing,Popularized
Undertaking,Undertook
Subduing,Subdued
Describing,Described
Denationalizing,Denationalized
Sheathing,Sheathed
Impending,Impended
Confabbing,Confabbed
Backstroking,Backstroked
Trampling,Trampled
Collying,Collied
Quadrisecting,Quadrisected
Pooping,Pooped
Vaccinating,Vaccinated
Drifting,Drifted
Carpentering,Carpentered
Overreacting,Overreacted
Pealing,Pealed
Peaking,Peaked
Pooling,Pooled
Asserting,Asserted
Dabbling,Dabbled
Smooching,Smooched
Phonating,Phonated
Untidying,Untidied
Moonlighting,Moonlighted
Head-loading,Head-loaded
Requisitioning,Requisitioned
Forswearing,Forswore
Disentailing,Disentailed
Overwatching,Overwatched
Peacocking,Peacocked
Expatiating,Expatiated
Milting,Milted
Piquing,Piqued
Bequeathing,Bequeathed
Rock-and-rolling,Rock-and-rolled
Delocalizing,Delocalized
Foreshowing,Foreshowed
Adhering,Adhered
Obnubilating,Obnubilated
Carpeting,Carpeted
Speechifying,Speechified
Disassociating,Disassociated
Carbolizing,Carbolized
Insulating,Insulated
Upbuilding,Upbuilt
Fostering,Fostered
Spearheading,Spearheaded
Soliciting,Solicited
Safetying,Safetied
Desiderating,Desiderated
Hearkening,Hearkened
Serrating,Serrated
Parrying,Parried
Cyphering,Cyphered
Deciding,Decided
Lapidifying,Lapidified
Underperforming,Underperformed
Curdling,Curdled
Fusillading,Fusilladed
Shimmying,Shimmied
Plaining,Plained
Skimming,Skimmed
Blackouting,Blackouted
Dunking,Dunked
Fencing,Fenced
French-polishing,French-polished
Archaizing,Archaized
Stigmatizing,Stigmatized
Enfeebling,Enfeebled
Enjoining,Enjoined
Hampering,Hampered
Chuckling,Chuckled
Mediatizing,Mediatized
Tussling,Tussled
F^eting,F^eted
Lurching,Lurched
Skidding,Skidded
Overruling,Overruled
Obtunding,Obtunded
Burglarizing,Burglarized
Pleaching,Pleached
Loosing,Loosed
Modifying,Modified
Outdistancing,Outdistanced
Whining,Whined
Telecasting,Telecasteded
Soldiering,Soldiered
Amounting,Amounted
Obtruding,Obtruded
Invalidating,Invalidated
Shuffling,Shuffled
Misdemeaning,Misdemeaned
Asking,Asked
Overpraising,Overpraised
Foretokening,Foretokened
Aggressing,Aggressed
Decompounding,Decompounded
Injuring,Injured
Generating,Generated
Enwreathing,Enwreathed
Handfeeding,Handfed
Telepathizing,Telepathized
Coiffuring,Coiffured
Eroding,Eroded
Decrepitating,Decrepitated
Sploshing,Sploshed
Indenturing,Indentured
Excusing,Excused
Hurrying,Hurried
Italicizing,Italicized
Grilling,Grilled
Unyoking,Unyoked
Titrating,Titrated
Muzzing,Muzzed
Swashing,Swashed
Cowking,Cowked
Transcending,Transcended
Cowling,Cowled
Boycotting,Boycotted
Henpecking,Henpecked
Apposing,Apposed
Surcingling,Surcingled
Excluding,Excluded
Cornicing,Corniced
Dimidiating,Dimidiated
Fortressing,Fortressed
Stymying,Stymied
Thieving,Thieved
Ledgering,Ledgered
Rejecting,Rejected
Gashing,Gashed
Slipsheeting,Slipsheeted
Ladyfying,Ladyfied
Whirling,Whirled
Sneaking,Snuck
Keelhauling,Keelhauled
Offloading,Offloaded
Gasping,Gasped
Humbugging,Humbugged
Criticizing,Criticized
Deluging,Deluged
Laminating,Laminated
Genuflecting,Genuflected
Dreading,Dreaded
Decamping,Decamped
Egging,Egged
Dinging,Dinged
Splaying,Splayed
Helping,Helped
Slouching,Slouched
Sooting,Sooted
Helming,Helmed
Expectorating,Expectorated
Casehardening,Casehardened
Reseating,Reseated
Autoclaving,Autoclaved
Astonishing,Astonished
Rabbling,Rabbled
Teaming,Teamed
Flabbergasting,Flabbergasted
Fooling,Fooled
Stiffening,Stiffened
Decollating,Decollated
Footing,Footed
Menstruating,Menstruated
Stoppering,Stoppered
Chamfering,Chamfered
Intervening,Intervened
Fanaticizing,Fanaticized
Blessing,Blest
Circularizing,Circularized
Blesting,Blested
Oppugning,Oppugned
Contextualizing,Contextualized
Transcribing,Transcribed
Pampering,Pampered
Trapesing,Trapesed
Tightening,Tightened
Deriding,Derided
Unharnessing,Unharnessed
Unleading,Unleaded
Heaving,Hove
Feoffing,Feoffed
Testifying,Testified
Publishing,Published
Jollying,Jollied
Equating,Equated
Desexualizing,Desexualized
Lording,Lorded
Issuing,Issued
Outrunning,Outran
Coinsuring,Coinsured
Recking,Recked
Punning,Punned
Swobbing,Swobbed
Pugging,Pugged
Dunging,Dunged
Derating,Derated
Houselling,Houselled
Reasoning,Reasoned
Basing,Based
Dirking,Dirked
Resettling,Resettled
Swopping,Swopped
Pupping,Pupped
Basking,Basked
Bashing,Bashed
Dunting,Dunted
Palpebrating,Palpebrated
Execrating,Execrated
Launching,Launched
Captioning,Captioned
Blushing,Blushed
Devolving,Devolved
Assigning,Assigned
Preventing,Prevented
Chain-stitching,Chain-stitched
Ingenerating,Ingenerated
Misting,Misted
Missing,Missed
Horsing,Horsed
Inuring,Inured
Ostracizing,Ostracized
Blossoming,Blossomed
Shrinkwrapping,Shrinkwrapped
Novelizing,Novelized
Purveying,Purveyed
Inurning,Inurned
Eddying,Eddied
Stationing,Stationed
Scheming,Schemed
Demystifying,Demystified
Sloshing,Sloshed
Underdeveloping,Underdeveloped
Interpleading,Interpled
Outranging,Outranged
Waterskiing,Waterskied
Overdriving,Overdrove
Dissembling,Dissembled
Chainreacting,Chainreacted
Apprenticing,Apprenticed
Lamenting,Lamented
Anticipating,Anticipated
Greying,Greyed
Greeing,Greed
Obfuscating,Obfuscated
Kindling,Kindled
Garrisoning,Garrisoned
Stying,Stied
Bejewelling,Bejewelled
Vitriolizing,Vitriolized
Footnoting,Footnoted
Overstating,Overstated
Controverting,Controverted
Yowling,Yowled
Disbranching,Disbranched
Upsweeping,Upswept
Lying,Lied
Trancing,Tranced
Caving,Caved
Classicizing,Classicized
Camouflaging,Camouflaged
Auctioneering,Auctioneered
,Lit
Stealing,Stole
Lipping,Lipped
Honeycombing,Honeycombed
Exserting,Exserted
Quoting,Quoth
Venging,Venged
Promenading,Promenaded
Plundering,Plundered
Bridling,Bridled
Diversifying,Diversified
Deflocculating,Deflocculated
Detoxicating,Detoxicated
Chronicling,Chronicled
Scumbling,Scumbled
Smouldering,Smouldered
Clearing,Cleared
Cleating,Cleated
Adulating,Adulated
Cleaning,Cleaned
Displanting,Displanted
Blending,Blended
Counterplotting,Counterplotted
Ennobling,Ennobled
Tincturing,Tinctured
Flickering,Flickered
Testmarketing,Testmarketed
Boozing,Boozed
Crayoning,Crayoned
Illegalizing,Illegalized
Sheaving,Sheaved
Acidulating,Acidulated
Inlacing,Inlaced
Copyrighting,Copyrighted
Underselling,Undersold
Circling,Circled
Waterproofing,Waterproofed
Outlasting,Outlasted
Belly-aching,Bellyached
Strutting,Strutted
Bedewing,Bedewed
Strumming,Strummed
Intensifying,Intensified
Fluffing,Fluffed
Immersing,Immersed
Withing,Withed
Lipreading,Lipread
Perfuming,Perfumed
Unsaddling,Unsaddled
Rejigging,Rejigged
Gelding,Gelt
Melding,Melded
Carnifying,Carnified
Dissertating,Dissertated
Cramping,Cramped
Backtracking,Backtracked
Crackling,Crackled
Ploughing,Ploughed
Culturing,Cultured
Venerating,Venerated
Closing,Closed
Despatching,Despatched
Introjecting,Introjected
Bifurcating,Bifurcated
Pepsinating,Pepsinated
Podzolizing,Podzolized
Throving,Throved
Wowing,Wowed
Wailing,Wailed
Wooing,Wooed
Premeditating,Premeditated
Checkmating,Checkmated
Delousing,Deloused
Philandering,Philandered
Vitalizing,Vitalized
Pissing,Pissed
Backfilling,Backfilled
Conjoining,Conjoined
Spraying,Sprayed
Aggrieving,Aggrieved
Distinguishing,Distinguished
Dallying,Dallied
Leaguing,Leagued
Delimiting,Delimited
Suspiring,Suspired
Buzzing,Buzzed
Vaulting,Vaulted
Stargazing,Stargazed
Secreting,Secreted
Oversleeping,Overslept
Likening,Likened
Rebating,Rebated
Mumbling,Mumbled
Arresting,Arrested
Stamping,Stamped
Damping,Damped
Bobsleighing,Bobsleighed
Reciprocating,Reciprocated
Damning,Damned
Mutinying,Mutinied
Threatening,Threatened
Emptying,Emptied
Dialoguing,Dialogued
Regrouping,Regrouped
Livening,Livened
Hoodooing,Hoodooed
Cracking,Cracked
Misconceiving,Misconceived
Deterring,Deterred
Bighting,Bighted
Panegyrizing,Panegyrized
Hobnobbing,Hobnobbed
Furrowing,Furrowed
Looming,Loomed
Overplaying,Overplayed
Looking,Looked
Disporting,Disported
Pacing,Paced
Infamizing,Infamized
Matching,Matched
Deplaning,Deplaned
Immaterializing,Immaterialized
Fleeting,Fleeted
Looting,Looted
Guiding,Guided
Looping,Looped
Fleering,Fleered
Consociating,Consociated
Sluicing,Sluiced
Readying,Readied
Sharecropping,Sharecropped
Etherizing,Etherized
Granting,Granted
Fluorinating,Fluorinated
Refocusing,Refocused
Belonging,Belonged
Discrediting,Discredited
Shagging,Shagged
Vermiculating,Vermiculated
Conflicting,Conflicted
Shamming,Shammed
Bantering,Bantered
Overweighting,Overweighted
Censuring,Censured
Spiritualizing,Spiritualized
Bellylanding,Bellylanded
Racemizing,Racemized
Infibulating,Infibulated
Vitrioling,Vitrioled
Unbalancing,Unbalanced
Grinding,Ground
Reclaiming,Reclaimed
Savvying,Savvied
Docketing,Docketed
Romanticizing,Romanticized
Cowping,Cowped
Abstaining,Abstained
Pillorying,Pilloried
Rebellowing,Rebellowed
Behoving,Behoved
Kedging,Kedged
Re-funding,Refunded
Gormandizing,Gormandized
Disseminating,Disseminated
Superheating,Superheated
Exhilarating,Exhilarated
Harmonizing,Harmonized
Oversteering,Oversteered
Marching,Marched
Filmseting,Filmseted
Finalizing,Finalized
Snecking,Snecked
Evaluating,Evaluated
Pullulating,Pullulated
Gaming,Gamed
Jibing,Jibed
Rusticating,Rusticated
Sandblasting,Sandblasted
Pillaring,Pillared
Stagnating,Stagnated
Manifesting,Manifested
Redounding,Redounded
Pre-digesting,Predigested
Sleighing,Sleighed
Resoling,Resoled
Centralizing,Centralized
Sketching,Sketched
Parading,Paraded
Alimenting,Alimented
Furbishing,Furbished
Lathing,Lathed
Undressing,Undressed
Outnumbering,Outnumbered
Collocating,Collocated
Impoverishing,Impoverished
Stirring,Stirred
Interlaminating,Interlaminated
Savaging,Savaged
Sheening,Sheened
Fettling,Fettled
Gilding,Gilt
Unbonneting,Unbonneted
Simmering,Simmered
Slashing,Slashed
Overcooking,Overcooked
Flameouting,Flameouted
Dehydrating,Dehydrated
Running,Ran
Rubbing,Rubbed
Triple-tonguing,Triple-tongued
Ruing,Rued
Stepping,Stepped
Stewing,Stewed
Bastinadoing,Bastinadoed
Aching,Ached
Panhandling,Panhandled
Ochring,Ochred
Rutting,Rutted
Shining,Shone
Reacting,Reacted
Reappearing,Reappeared
Yirring,Yirred
Stonewalling,Stonewalled
Hinging,Hinged
Perking,Perked
Ullaging,Ullaged
Posturizing,Posturized
Misspending,Misspent
Blocking,Blocked
Foreswearing,Foreswore
Decertifying,Decertified
Ensuing,Ensued
Calcining,Calcined
Dousing,Doused
Manufacturing,Manufactured
Rummaging,Rummaged
Sizzling,Sizzled
Refrigerating,Refrigerated
Sideswiping,Sideswiped
Frosting,Frosted
Disaffirming,Disaffirmed
Higgling,Higgled
Reefing,Reefed
Reeking,Reeked
Reeling,Reeled
Dulling,Dulled
Marauding,Marauded
Skulking,Skulked
Ballyhooing,Ballyhooed
Immuring,Immured
Mafficking,Mafficked
Nestling,Nestled
Blenting,Blented
Seething,Seethed
Underquoting,Underquoted
Unwishing,Unwished
Surmising,Surmised
Nabbing,Nabbed
Liberalizing,Liberalized
Nagging,Nagged
Upstaging,Upstaged
Napping,Napped
Hafting,Hafted
Forging,Forged
Deuterating,Deuterated
Disfavouring,Disfavoured
Kibitzing,Kibitzed
Dratting,Dratted
Drawing,Drew
Depolarizing,Depolarized
Recalescing,Recalesced
Resigning,Resigned
Tepefying,Tepefied
Draghunting,Draghunted
Diphthongizing,Diphthongized
Drabbing,Drabbed
Structuring,Structured
Miscuing,Miscued
Windlassing,Windlassed
Demagoguing,Demagogued
Orbiting,Orbited
Bribing,Bribed
Rencountering,Rencountered
Pinioning,Pinioned
Propositioning,Propositioned
Ionizing,Ionized
Going,Went
Embossing,Embossed
Compacting,Compacted
Asphalting,Asphalted
Analogizing,Analogized
Staving,Staved
Teething,Teethed
Incrassating,Incrassated
Adsorbing,Adsorbed
Concertizing,Concertized
Simulcasting,Simulcasted
Waving,Waved
Disinterring,Disinterred
Germanizing,Germanized
Underscoring,Underscored
Skewing,Skewed
Buttoning,Buttoned
Hiving,Hived
Mewling,Mewled
Evangelizing,Evangelized
Cloistering,Cloistered
Castrating,Castrated
Enforcing,Enforced
Slowing,Slowed
Diluting,Diluted
Renegotiating,Renegotiated
Picketing,Picketed
Relining,Relined
Blitzing,Blitzed
Jumping,Jumped
Hosing,Hosed
Clicking,Clicked
Clangouring,Clangoured
Poking,Poked
Impearling,Impearled
Opaquing,Opaqued
Sepulchring,Sepulchred
Scheduling,Scheduled
Exacerbating,Exacerbated
Valeting,Valeted
Experimenting,Experimented
Unspeaking,Unspoke
Infusing,Infused
Old-talking,Old-talked
Hysterectomizing,Hysterectomized
Teutonizing,Teutonized
Emboweling,Emboweled
Goosesteping,Goosesteped
Staunching,Staunched
Prescribing,Prescribed
Mothproofing,Mothproofed
Quelling,Quelled
Bowdlerizing,Bowdlerized
Cumbering,Cumbered
Adulterating,Adulterated
Trajecting,Trajected
Converting,Converted
Copper-bottoming,Copper-bottomed
Chanting,Chanted
Perfusing,Perfused
Repelling,Repelled
Wolfwhistling,Wolfwhistled
Strongarming,Strongarmed
Beheading,Beheaded
Wigging,Wigged
Foreseeing,Foresaw
Shaking,Shook
Winning,Won
Managing,Managed
Clouting,Clouted
Subserving,Subserved
Overvaluing,Overvalued
Infesting,Infested
Cybernating,Cybernated
Manipulating,Manipulated
Imbuing,Imbued
Crapping,Crapped
Opalescing,Opalesced
Softsoaping,Softsoaped
Snooding,Snooded
Plasticizing,Plasticized
Platitudinizing,Platitudinized
Crabbing,Crabbed
Mercurating,Mercurated
Cramming,Crammed
Recomposing,Recomposed
Depreciating,Depreciated
Sandblasting,Sandblasted
Stemming,Stemmed
Cackling,Cackled
Lacerating,Lacerated
Mismatching,Mismatched
Hotfooting,Hotfooted
Embrocating,Embrocated
Reindicting,Reindicted
Re-covering,Recovered
Felicitating,Felicitated
Disrobing,Disrobed
Consorting,Consorted
Lapsing,Lapsed
Meeting,Met
Nurturing,Nurtured
Vaunting,Vaunted
Controlling,Controlled
Wharfing,Wharfed
Skirling,Skirled
Crevassing,Crevassed
Beleaguering,Beleaguered
Atoning,Atoned
Skirring,Skirred
Skirting,Skirted
Undeceiving,Undeceived
Hesitating,Hesitated
Over-exposing,Overexposed
Scrambing,Scrambed
Perspiring,Perspired
Narking,Narked
Deploring,Deplored
Inweaving,Inwove
Misliking,Misliked
Free-selecting,Free-selected
Pinking,Pinked
Farming,Farmed
Cankering,Cankered
Farting,Farted
Cantillating,Cantillated
Fatiguing,Fatigued
Prancing,Pranced
Tombing,Tombed
Fomenting,Fomented
Unmuzzling,Unmuzzled
Prettifying,Prettified
Overdressing,Overdressed
Encamping,Encamped
Decorticating,Decorticated
